i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       deuteron_D     deuteron_T     He3_D          He3_T          alpha_D        alpha_T        Li6_D          Li6_T          Be8_D          Be8_T          C12_D          C12_T          C13_D          C13_T          N15_D          N15_T          O15_D          O15_T          O16_D          O16_T          
223	0	0	12.8065        3.93578        12.8065        3.93578        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
224	0	0	9.34741        3.68894        9.34741        3.68894        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
225	0	0	17.8015        4.48896        17.8015        4.48896        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
226	0	0	16.3637        3.58697        16.3637        3.58697        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
227	0	0	16.6887        2.95499        16.6887        2.95499        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
228	0	0	13.9461        2.15149        13.9461        2.15149        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
229	0	0	3.72681        1.53601        3.72681        1.53601        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
230	0	0	6.11322        1.6934         6.11322        1.6934         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
231	0	0	10.2885        1.68851        10.2885        1.68851        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
232	0	0	3.79912        1.44855        3.79912        1.44855        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
233	0	0	6.70921        1.64714        6.70921        1.64714        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
234	0	0	8.72205        1.42093        8.72205        1.42093        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
235	0	0	2.61174        1.26262        2.61174        1.26262        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
236	0	0	3.28374        1.31819        3.28374        1.31819        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
237	0	0	6.35069        1.47456        6.35069        1.47456        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
238	0	0	9.13582        1.34165        9.13582        1.34165        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
239	0	0	1.52024        1.07852        1.18737        1.06868        48.5021        48.5021        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
240	0	0	1.19237        1.07116        1.19237        1.07116        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
241	0	0	1.18743        1.07385        1.18743        1.07385        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
242	0	0	1.24068        1.07675        1.24068        1.07675        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
243	0	0	1.22923        1.07981        1.22923        1.07981        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
244	0	0	1.26114        1.08294        1.26114        1.08294        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
245	0	0	1.24226        1.08616        1.24226        1.08616        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
246	0	0	1.2763         1.08969        1.2763         1.08969        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
247	0	0	1.28366        1.09325        1.28366        1.09325        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
248	0	0	1.29782        1.09774        1.29782        1.09774        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
249	0	0	1.30958        1.1016         1.30958        1.1016         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
250	0	0	1.32575        1.1059         1.32575        1.1059         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
251	0	0	1.71622        1.12089        1.36115        1.11041        49.8782        49.8782        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
252	0	0	1.41917        1.11525        1.41917        1.11525        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
253	0	0	1.40178        1.12072        1.40178        1.12072        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
254	0	0	1.43048        1.12658        1.43048        1.12658        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
255	0	0	1.45998        1.13257        1.45998        1.13257        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
256	0	0	1.49513        1.13966        1.49513        1.13966        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
257	0	0	1.59856        1.14785        1.59856        1.14785        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
258	0	0	1.62279        1.15693        1.62279        1.15693        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
259	0	0	1.62719        1.16745        1.62719        1.16745        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
260	0	0	1.81023        1.18008        1.81023        1.18008        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
261	0	0	1.99941        1.19641        1.99941        1.19641        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
262	0	0	2.25356        1.21871        2.25356        1.21871        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
263	0	0	2.51392        1.25115        2.51392        1.25115        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
264	0	0	3.17388        1.30494        3.17388        1.30494        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
265	0	0	5.78574        1.44459        5.78574        1.44459        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
266	0	0	10.6035        1.37458        10.6035        1.37458        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
267	0	0	1.05327        1.04838        1.05327        1.04838        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
268	0	0	1.05837        1.04987        1.05837        1.04987        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
269	0	0	1.05543        1.05128        1.05543        1.05128        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
270	0	0	1.05511        1.05272        1.05511        1.05272        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
271	0	0	1.05833        1.05425        1.05833        1.05425        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
272	0	0	1.05933        1.05574        1.05933        1.05574        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
273	0	0	1.06119        1.05726        1.06119        1.05726        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
274	0	0	1.06214        1.05874        1.06214        1.05874        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
275	0	0	1.06756        1.06024        1.06756        1.06024        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
276	0	0	1.06437        1.06172        1.06437        1.06172        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
277	0	0	1.06703        1.06317        1.06703        1.06317        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
278	0	0	1.06835        1.06464        1.06835        1.06464        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
279	0	0	1.06946        1.06617        1.06946        1.06617        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
280	0	0	1.07316        1.06768        1.07316        1.06768        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
281	0	0	4.25338        1.12538        1.0739         1.06921        82.423         82.423         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
282	0	0	1.0759         1.07073        1.0759         1.07073        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
283	0	0	1.07606        1.07219        1.07606        1.07219        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
284	0	0	1.07643        1.07371        1.07643        1.07371        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
285	0	0	1.08054        1.07529        1.08054        1.07529        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
286	0	0	1.08089        1.07692        1.08089        1.07692        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
287	0	0	1.0865         1.07861        1.0865         1.07861        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
288	0	0	1.08679        1.08025        1.08679        1.08025        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
289	0	0	1.09239        1.0819         1.09239        1.0819         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
290	0	0	1.08973        1.08354        1.08973        1.08354        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
291	0	0	1.09483        1.08525        1.09483        1.08525        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
292	0	0	1.09403        1.08682        1.09403        1.08682        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
293	0	0	1.09679        1.08834        1.09679        1.08834        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
294	0	0	1.09565        1.08997        1.09565        1.08997        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
295	0	0	1.09473        1.09159        1.09473        1.09159        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
296	0	0	1.09833        1.09322        1.09833        1.09322        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
297	0	0	1.0997         1.09488        1.0997         1.09488        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
298	0	0	1.10224        1.09655        1.10224        1.09655        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
299	0	0	1.1033         1.09818        1.1033         1.09818        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
300	0	0	1.1051         1.10005        1.1051         1.10005        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
301	0	0	1.111          1.10176        1.111          1.10176        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
302	0	0	1.10819        1.10337        1.10819        1.10337        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
303	0	0	1.11091        1.10504        1.11091        1.10504        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
304	0	0	1.11153        1.1069         1.11153        1.1069         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
305	0	0	1.12042        1.10872        1.12042        1.10872        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
306	0	0	1.11812        1.11044        1.11812        1.11044        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
307	0	0	1.11512        1.11222        1.11512        1.11222        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
308	0	0	1.12147        1.11394        1.12147        1.11394        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
309	0	0	1.12208        1.11573        1.12208        1.11573        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
310	0	0	1.12052        1.11749        1.12052        1.11749        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
311	0	0	3.70388        1.14305        1.1293         1.11927        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              134.816        134.816        
312	0	0	1.13014        1.12114        1.13014        1.12114        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
313	0	0	1.12973        1.12299        1.12973        1.12299        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
314	0	0	1.13285        1.12481        1.13285        1.12481        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
315	0	0	1.13731        1.12667        1.13731        1.12667        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
316	0	0	1.14399        1.12846        1.14399        1.12846        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
317	0	0	1.1393         1.13025        1.1393         1.13025        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
318	0	0	1.13901        1.1321         1.13901        1.1321         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
319	0	0	1.14581        1.13405        1.14581        1.13405        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
320	0	0	1.14305        1.13593        1.14305        1.13593        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
321	0	0	1.14013        1.13784        1.14013        1.13784        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
322	0	0	1.14595        1.13973        1.14595        1.13973        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
323	0	0	1.15875        1.14177        1.15875        1.14177        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
324	0	0	1.15239        1.14377        1.15239        1.14377        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
325	0	0	7.12656        1.19003        1.15383        1.14572        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              176.121        176.121        
326	0	0	1.15918        1.14766        1.15918        1.14766        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
327	0	0	1.15445        1.14965        1.15445        1.14965        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
328	0	0	1.1573         1.15157        1.1573         1.15157        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
329	0	0	1.16375        1.15361        1.16375        1.15361        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
330	0	0	1.16386        1.15573        1.16386        1.15573        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
331	0	0	1.16574        1.15773        1.16574        1.15773        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
332	0	0	1.17944        1.15972        1.17944        1.15972        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
333	0	0	1.17225        1.16178        1.17225        1.16178        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
334	0	0	1.17563        1.16392        1.17563        1.16392        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
335	0	0	1.17788        1.16605        1.17788        1.16605        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
