i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       deuteron_D     deuteron_T     He3_D          He3_T          alpha_D        alpha_T        Li6_D          Li6_T          Be8_D          Be8_T          C12_D          C12_T          C13_D          C13_T          N15_D          N15_T          O15_D          O15_T          O16_D          O16_T          
39	0	0	1.66562        1.38551        1.51777        1.33692        4.25863        3.73102        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
40	0	0	1.75638        1.39981        1.56472        1.34438        4.66799        4.03406        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
41	0	0	1.89618        1.41776        1.65153        1.35397        5.38225        4.44933        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
42	0	0	2.14631        1.44596        1.78761        1.36866        6.77711        5.15312        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
43	0	0	3.48554        1.52609        2.66524        1.40951        11.1501        7.13234        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
44	0	0	4.48658        1.45319        2.70508        1.36233        26.6805        7.98368        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
45	0	0	1.42168        1.34464        1.39184        1.32986        2.72336        2.64493        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
46	0	0	1.4456         1.34887        1.41495        1.33374        2.77333        2.6817         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
47	0	0	1.44807        1.35327        1.41638        1.33776        2.85192        2.72079        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
48	0	0	1.43953        1.35727        1.40799        1.34128        2.87907        2.76009        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
49	0	0	1.45557        1.36177        1.4185         1.34533        2.93419        2.80098        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
