i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       alpha          alpha          Li7            Li7            Be7            Be7            Be8            Be8            O16            O16            
52	0	0	2.4449e-08     2.40812e-08    167            1.85787e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
53	0	0	2.48148e-08    2.45079e-08    167            1.79418e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
54	0	0	2.51559e-08    2.48333e-08    167            2.27051e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
55	0	0	2.55503e-08    2.51414e-08    167            1.80946e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
56	0	0	2.53532e-08    2.49045e-08    167            1.86254e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
57	0	0	2.5434e-08     2.5093e-08     167            1.84964e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
58	0	0	2.60737e-08    2.51682e-08    167            2.49395e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
59	0	0	2.51808e-08    2.46662e-08    166            2.88285e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
60	0	0	2.51507e-08    2.48896e-08    166            2.18643e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
61	0	0	2.56937e-08    2.54325e-08    166            1.9185e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
62	0	0	2.54587e-08    2.50168e-08    166            2.66766e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
63	0	0	2.54057e-08    2.51807e-08    166            2.03739e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
64	0	0	2.62759e-08    2.59602e-08    166            2.4954e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
65	0	0	2.71545e-08    2.67862e-08    166            3.58929e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
66	0	0	2.63783e-08    2.5811e-08     165            3.96541e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
67	0	0	2.63048e-08    2.58218e-08    164            3.85696e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
68	0	0	2.57668e-08    2.5273e-08     164            4.54008e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
69	0	0	2.65601e-08    2.58947e-08    164            3.58589e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
70	0	0	2.68486e-08    2.6261e-08     164            4.22181e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
71	0	0	2.71746e-08    2.65774e-08    164            3.40547e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
72	0	0	2.73229e-08    2.69085e-08    164            3.65248e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
73	0	0	2.83995e-08    2.79714e-08    163            3.85805e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
74	0	0	2.73312e-08    2.68319e-08    162            3.45568e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
75	0	0	2.76626e-08    2.71641e-08    162            3.25634e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
76	0	0	2.79209e-08    2.75381e-08    162            3.82723e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
77	0	0	2.79242e-08    2.73414e-08    161            4.76768e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
78	0	0	2.60095e-08    2.55176e-08    160            4.03305e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
79	0	0	2.56405e-08    2.52918e-08    160            3.41421e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
80	0	0	2.65077e-08    2.5788e-08     160            5.43434e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
81	0	0	2.70978e-08    2.63665e-08    160            4.17063e-10    2              0              0              0              0              0              0              0              0              0              0              1.80618e-10    1              
82	0	0	2.76831e-08    2.72871e-08    160            3.77463e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
83	0	0	2.74114e-08    2.67544e-08    160            4.01735e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
84	0	0	2.78155e-08    2.73388e-08    159            4.20212e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
85	0	0	2.55012e-08    2.51277e-08    158            3.73446e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
86	0	0	2.60259e-08    2.55738e-08    158            4.12881e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
87	0	0	2.65598e-08    2.59949e-08    158            4.10455e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
88	0	0	2.61225e-08    2.54891e-08    158            4.57386e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
89	0	0	2.67565e-08    2.63502e-08    158            3.67698e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
90	0	0	2.72581e-08    2.67096e-08    158            4.75563e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
91	0	0	2.85819e-08    2.80842e-08    158            4.23202e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
92	0	0	2.85097e-08    2.78584e-08    158            3.98396e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
93	0	0	2.77492e-08    2.70604e-08    157            3.97505e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
94	0	0	2.67615e-08    2.61666e-08    156            4.32012e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
95	0	0	2.78169e-08    2.72443e-08    156            4.35053e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
96	0	0	2.71455e-08    2.64451e-08    156            5.33205e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
97	0	0	2.65559e-08    2.61434e-08    155            4.12422e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
98	0	0	2.50302e-08    2.45445e-08    154            4.85724e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
99	0	0	2.59967e-08    2.55288e-08    154            4.67892e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
100	0	0	2.59683e-08    2.55198e-08    154            4.48489e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
101	0	0	2.58588e-08    2.53329e-08    153            5.08228e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
102	0	0	2.49564e-08    2.4283e-08     152            5.19598e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
103	0	0	2.50866e-08    2.44651e-08    152            5.28437e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
104	0	0	2.52287e-08    2.45897e-08    152            5.16783e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
105	0	0	2.48412e-08    2.44974e-08    152            3.43818e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
