i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       He3            He3            alpha          alpha          Li6            Li6            Be8            Be8            C12            C12            C13            C13            N15            N15            O15            O15            O16            O16            
40	0	0	6.94291e-09    6.46313e-09    197            4.28665e-10    3              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
41	0	0	7.1385e-09     6.62382e-09    197            4.66465e-10    3              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
42	0	0	7.37488e-09    6.81756e-09    197            5.35659e-10    3              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
43	0	0	7.62608e-09    6.81785e-09    197            7.29681e-10    3              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
44	0	0	7.19636e-09    6.5963e-09     197            5.33418e-10    3              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
45	0	0	6.67348e-09    6.47098e-09    196            1.51933e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
46	0	0	6.71535e-09    6.42622e-09    196            1.5051e-10     2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
47	0	0	6.90451e-09    6.65636e-09    196            1.53218e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
48	0	0	6.88767e-09    6.62311e-09    196            1.46847e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
49	0	0	6.67525e-09    6.41431e-09    195            1.63937e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
50	0	0	6.87132e-09    6.55858e-09    195            1.67682e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
51	0	0	6.78122e-09    6.55318e-09    195            1.72833e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
52	0	0	6.748e-09      6.56149e-09    195            1.63964e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
53	0	0	6.82828e-09    6.62764e-09    195            1.63063e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
54	0	0	6.94987e-09    6.73253e-09    195            1.4607e-10     2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              8.18714e-12    1              
55	0	0	7.04269e-09    6.75567e-09    195            1.7302e-10     2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
56	0	0	6.92664e-09    6.72232e-09    195            1.68105e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
57	0	0	7.12111e-09    6.86756e-09    195            1.82929e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
