i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
95	0	0	8.22704e-10    8.19208e-10    24             0              0              0              0              
96	0	0	8.68193e-10    8.46113e-10    24             0              0              0              0              
97	0	0	8.23922e-10    8.03562e-10    24             0              0              0              0              
98	0	0	8.80342e-10    8.80342e-10    24             0              0              0              0              
99	0	0	8.33956e-10    8.11375e-10    24             0              0              0              0              
100	0	0	8.97835e-10    8.97835e-10    24             0              0              0              0              
101	0	0	8.26914e-10    8.26914e-10    24             0              0              0              0              
102	0	0	8.60904e-10    8.60904e-10    24             0              0              0              0              
103	0	0	8.66338e-10    8.66338e-10    24             0              0              0              0              
104	0	0	8.579e-10      8.3849e-10     24             0              0              0              0              
105	0	0	8.42054e-10    8.31862e-10    24             0              0              0              0              
106	0	0	8.43182e-10    8.15899e-10    24             0              0              0              0              
107	0	0	8.24376e-10    8.00303e-10    24             0              0              0              0              
108	0	0	8.62092e-10    8.44332e-10    24             0              0              0              0              
109	0	0	8.01961e-10    8.01961e-10    24             0              0              0              0              
110	0	0	8.34577e-10    8.34577e-10    24             0              0              0              0              
111	0	0	8.48328e-10    8.47404e-10    24             0              0              0              0              
112	0	0	8.89315e-10    8.68388e-10    24             0              0              0              0              
113	0	0	9.21291e-10    9.20066e-10    24             0              0              0              0              
114	0	0	9.43664e-10    8.75029e-10    24             0              0              0              0              
115	0	0	8.93835e-10    8.82537e-10    24             0              0              0              0              
116	0	0	8.50578e-10    8.3838e-10     24             0              0              1.21981e-11    1              
117	0	0	8.59287e-10    8.59287e-10    24             0              0              0              0              
118	0	0	8.47328e-10    8.47328e-10    24             0              0              0              0              
119	0	0	8.6259e-10     8.6259e-10     24             0              0              0              0              
120	0	0	9.46305e-10    9.46305e-10    24             0              0              0              0              
121	0	0	9.8656e-10     9.8656e-10     24             0              0              0              0              
122	0	0	8.53402e-10    8.53402e-10    24             0              0              0              0              
123	0	0	9.22623e-10    9.22623e-10    24             0              0              0              0              
124	0	0	8.98657e-10    8.98657e-10    24             0              0              0              0              
125	0	0	9.36393e-10    9.36393e-10    24             0              0              0              0              
126	0	0	8.92924e-10    8.92924e-10    24             0              0              0              0              
127	0	0	9.3151e-10     9.3151e-10     24             0              0              0              0              
128	0	0	9.27553e-10    9.27553e-10    24             0              0              0              0              
129	0	0	8.77295e-10    8.77295e-10    24             0              0              0              0              
130	0	0	9.08887e-10    9.08887e-10    24             0              0              0              0              
131	0	0	9.47621e-10    9.47621e-10    24             0              0              0              0              
132	0	0	9.43132e-10    9.43132e-10    24             0              0              0              0              
133	0	0	9.75146e-10    9.75146e-10    24             0              0              0              0              
134	0	0	9.15522e-10    9.15522e-10    24             0              0              0              0              
135	0	0	8.69119e-10    8.69119e-10    24             0              0              0              0              
136	0	0	9.33079e-10    9.33079e-10    24             0              0              0              0              
137	0	0	9.65913e-10    9.65913e-10    24             0              0              0              0              
138	0	0	9.94705e-10    9.94705e-10    24             0              0              0              0              
139	0	0	9.55973e-10    9.55973e-10    24             0              0              0              0              
140	0	0	9.62527e-10    9.62527e-10    24             0              0              0              0              
141	0	0	9.11243e-10    9.11243e-10    24             0              0              0              0              
142	0	0	1.00535e-09    1.00535e-09    24             0              0              0              0              
143	0	0	9.30758e-10    9.30758e-10    24             0              0              0              0              
144	0	0	1.03323e-09    9.58307e-10    24             0              0              7.49182e-11    1              
145	0	0	1.01113e-09    1.01113e-09    24             0              0              0              0              
146	0	0	1.08056e-09    1.08056e-09    24             0              0              0              0              
147	0	0	1.02629e-09    1.02629e-09    24             0              0              0              0              
148	0	0	9.3254e-10     9.3254e-10     24             0              0              0              0              
149	0	0	1.05786e-09    1.05786e-09    24             0              0              0              0              
150	0	0	1.01401e-09    1.01401e-09    24             0              0              0              0              
151	0	0	9.96298e-10    9.96298e-10    24             0              0              0              0              
152	0	0	1.01643e-09    1.01643e-09    24             0              0              0              0              
153	0	0	9.90748e-10    9.90748e-10    24             0              0              0              0              
154	0	0	1.06218e-09    1.06218e-09    24             0              0              0              0              
155	0	0	1.03725e-09    1.03725e-09    24             0              0              0              0              
156	0	0	9.84436e-10    9.84436e-10    24             0              0              0              0              
157	0	0	9.84151e-10    9.84151e-10    24             0              0              0              0              
158	0	0	1.05098e-09    1.05098e-09    24             0              0              0              0              
159	0	0	1.01768e-09    1.01768e-09    24             0              0              0              0              
160	0	0	1.02679e-09    1.02679e-09    24             0              0              0              0              
161	0	0	1.08355e-09    1.08355e-09    24             0              0              0              0              
162	0	0	1.04955e-09    1.04955e-09    24             0              0              0              0              
163	0	0	1.05978e-09    1.05978e-09    24             0              0              0              0              
164	0	0	1.01609e-09    1.01609e-09    24             0              0              0              0              
165	0	0	1.08714e-09    1.08714e-09    24             0              0              0              0              
166	0	0	1.07337e-09    1.07337e-09    24             0              0              0              0              
167	0	0	1.06386e-09    1.06386e-09    24             0              0              0              0              
168	0	0	1.03252e-09    1.03252e-09    24             0              0              0              0              
169	0	0	1.05184e-09    1.05184e-09    24             0              0              0              0              
170	0	0	1.0628e-09     1.0628e-09     24             0              0              0              0              
171	0	0	1.0885e-09     1.0885e-09     24             0              0              0              0              
172	0	0	1.05952e-09    1.05952e-09    24             0              0              0              0              
173	0	0	1.11899e-09    1.11899e-09    24             0              0              0              0              
174	0	0	1.12946e-09    1.12946e-09    24             0              0              0              0              
175	0	0	1.13071e-09    1.13071e-09    24             0              0              0              0              
176	0	0	1.15816e-09    1.15816e-09    24             0              0              0              0              
177	0	0	1.09833e-09    1.09833e-09    24             0              0              0              0              
178	0	0	1.12205e-09    1.12205e-09    24             0              0              0              0              
179	0	0	1.17923e-09    1.17923e-09    24             0              0              0              0              
180	0	0	1.17055e-09    1.17055e-09    24             0              0              0              0              
181	0	0	1.12361e-09    1.12361e-09    24             0              0              0              0              
182	0	0	1.15467e-09    1.15467e-09    24             0              0              0              0              
183	0	0	1.11887e-09    1.11887e-09    24             0              0              0              0              
184	0	0	1.22289e-09    1.22289e-09    24             0              0              0              0              
185	0	0	1.14794e-09    1.14794e-09    24             0              0              0              0              
186	0	0	1.17445e-09    1.17445e-09    24             0              0              0              0              
187	0	0	1.18108e-09    1.18108e-09    24             0              0              0              0              
188	0	0	1.17579e-09    1.17579e-09    24             0              0              0              0              
189	0	0	1.1779e-09     1.1779e-09     24             0              0              0              0              
