i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         N15            N15            O15            O15            O16            O16            
74	0	0	2.56048e-09    2.56048e-09    19             0              0              0              0              0              0              0              0              
75	0	0	2.57441e-09    2.5151e-09     19             0              0              0              0              0              0              0              0              
76	0	0	2.72236e-09    2.68998e-09    19             0              0              0              0              0              0              0              0              
77	0	0	2.56846e-09    2.56846e-09    19             0              0              0              0              0              0              0              0              
78	0	0	2.40438e-09    2.40438e-09    19             0              0              0              0              0              0              0              0              
79	0	0	2.40321e-09    2.40321e-09    19             0              0              0              0              0              0              0              0              
80	0	0	2.83287e-09    2.74395e-09    19             0              0              0              0              0              0              0              0              
81	0	0	2.48207e-09    2.48207e-09    19             0              0              0              0              0              0              0              0              
82	0	0	2.39295e-09    2.39295e-09    19             0              0              0              0              0              0              0              0              
83	0	0	2.47415e-09    2.47415e-09    19             0              0              0              0              0              0              0              0              
84	0	0	4.67386e-09    2.55102e-09    19             4.33752e-11    1              8.29861e-14    1              1.94511e-09    1              0              0              
85	0	0	2.9037e-09     2.32626e-09    18             3.38785e-10    1              0              0              0              0              0              0              
86	0	0	2.9209e-09     2.46771e-09    18             3.38494e-10    1              0              0              0              0              0              0              
87	0	0	2.99606e-09    2.40259e-09    18             4.13188e-10    1              0              0              0              0              0              0              
88	0	0	2.854e-09      2.49275e-09    18             3.61241e-10    1              0              0              0              0              0              0              
89	0	0	2.91983e-09    2.47618e-09    18             4.43652e-10    1              0              0              0              0              0              0              
90	0	0	2.9634e-09     2.52047e-09    18             4.18981e-10    1              0              0              0              0              0              0              
91	0	0	2.89334e-09    2.43618e-09    18             3.90387e-10    1              0              0              0              0              0              0              
92	0	0	2.94812e-09    2.50295e-09    18             4.33015e-10    1              0              0              0              0              0              0              
93	0	0	2.83988e-09    2.37934e-09    18             3.78279e-10    1              0              0              0              0              0              0              
94	0	0	2.9999e-09     2.52542e-09    18             4.14367e-10    1              0              0              0              0              0              0              
95	0	0	3.23585e-09    2.66197e-09    18             4.41145e-10    1              0              0              0              0              0              0              
96	0	0	3.01961e-09    2.47969e-09    18             4.66297e-10    1              0              0              0              0              0              0              
97	0	0	3.11e-09       2.58872e-09    18             5.21272e-10    1              0              0              0              0              0              0              
98	0	0	2.94855e-09    2.50892e-09    18             4.39633e-10    1              0              0              0              0              0              0              
99	0	0	3.13685e-09    2.5409e-09     18             5.45307e-10    1              0              0              0              0              5.06502e-11    1              
100	0	0	2.9955e-09     2.52265e-09    18             4.72852e-10    1              0              0              0              0              0              0              
101	0	0	3.001e-09      2.47051e-09    18             4.98594e-10    1              0              0              0              0              0              0              
102	0	0	3.18414e-09    2.60943e-09    18             5.1092e-10     1              0              0              0              0              0              0              
103	0	0	3.09185e-09    2.54098e-09    18             5.50871e-10    1              0              0              0              0              0              0              
104	0	0	3.18196e-09    2.58835e-09    18             5.26521e-10    1              0              0              0              0              0              0              
105	0	0	3.20918e-09    2.50379e-09    18             5.99547e-10    1              0              0              0              0              0              0              
106	0	0	3.03505e-09    2.53566e-09    18             4.99392e-10    1              0              0              0              0              0              0              
107	0	0	3.38354e-09    2.81233e-09    18             5.71208e-10    1              0              0              0              0              0              0              
108	0	0	3.22201e-09    2.57572e-09    18             6.4629e-10     1              0              0              0              0              0              0              
109	0	0	3.3779e-09     2.67155e-09    18             7.06352e-10    1              0              0              0              0              0              0              
110	0	0	3.43281e-09    2.64301e-09    18             7.89796e-10    1              0              0              0              0              0              0              
111	0	0	3.39693e-09    2.62674e-09    18             7.17699e-10    1              0              0              0              0              0              0              
112	0	0	3.74739e-09    2.70429e-09    18             1.00866e-09    1              0              0              0              0              0              0              
113	0	0	6.475e-09      2.77399e-09    18             3.66383e-09    1              0              0              0              0              0              0              
114	0	0	5.90718e-09    2.49209e-09    18             2.43832e-09    1              0              0              0              0              9.22783e-10    1              
115	0	0	2.83589e-09    2.77658e-09    18             0              0              0              0              0              0              0              0              
116	0	0	2.56631e-09    2.53746e-09    18             0              0              0              0              0              0              0              0              
117	0	0	2.74115e-09    2.74115e-09    18             0              0              0              0              0              0              0              0              
118	0	0	2.73871e-09    2.73871e-09    18             0              0              0              0              0              0              0              0              
119	0	0	2.74915e-09    2.71664e-09    18             0              0              0              0              0              0              0              0              
120	0	0	2.68316e-09    2.62948e-09    18             0              0              0              0              0              0              0              0              
121	0	0	2.78866e-09    2.78866e-09    18             0              0              0              0              0              0              0              0              
122	0	0	2.78919e-09    2.78919e-09    18             0              0              0              0              0              0              0              0              
123	0	0	2.69139e-09    2.69139e-09    18             0              0              0              0              0              0              0              0              
124	0	0	2.88339e-09    2.88339e-09    18             0              0              0              0              0              0              0              0              
125	0	0	2.82245e-09    2.82245e-09    18             0              0              0              0              0              0              0              0              
126	0	0	3.06929e-09    3.06929e-09    18             0              0              0              0              0              0              0              0              
127	0	0	2.74204e-09    2.74204e-09    18             0              0              0              0              0              0              0              0              
128	0	0	2.93141e-09    2.93141e-09    18             0              0              0              0              0              0              0              0              
129	0	0	2.73858e-09    2.73858e-09    18             0              0              0              0              0              0              0              0              
130	0	0	2.92126e-09    2.92126e-09    18             0              0              0              0              0              0              0              0              
131	0	0	2.85344e-09    2.85344e-09    18             0              0              0              0              0              0              0              0              
132	0	0	2.6312e-09     2.6312e-09     18             0              0              0              0              0              0              0              0              
133	0	0	2.99206e-09    2.99206e-09    18             0              0              0              0              0              0              0              0              
134	0	0	3.02093e-09    3.02093e-09    18             0              0              0              0              0              0              0              0              
135	0	0	3.0184e-09     3.0184e-09     18             0              0              0              0              0              0              0              0              
136	0	0	2.89306e-09    2.89306e-09    18             0              0              0              0              0              0              0              0              
137	0	0	2.86387e-09    2.86387e-09    18             0              0              0              0              0              0              0              0              
138	0	0	3.02318e-09    3.02318e-09    18             0              0              0              0              0              0              0              0              
139	0	0	3.33333e-09    3.33333e-09    18             0              0              0              0              0              0              0              0              
140	0	0	2.96178e-09    2.96178e-09    18             0              0              0              0              0              0              0              0              
141	0	0	3.08808e-09    3.08808e-09    18             0              0              0              0              0              0              0              0              
142	0	0	2.92101e-09    2.92101e-09    18             0              0              0              0              0              0              0              0              
143	0	0	3.09995e-09    3.09995e-09    18             0              0              0              0              0              0              0              0              
144	0	0	3.13276e-09    3.13276e-09    18             0              0              0              0              0              0              0              0              
145	0	0	2.98656e-09    2.98656e-09    18             0              0              0              0              0              0              0              0              
146	0	0	2.97203e-09    2.97203e-09    18             0              0              0              0              0              0              0              0              
147	0	0	2.9662e-09     2.9662e-09     18             0              0              0              0              0              0              0              0              
148	0	0	3.22587e-09    3.09492e-09    18             0              0              0              0              0              0              1.30944e-10    1              
149	0	0	2.95015e-09    2.95015e-09    18             0              0              0              0              0              0              0              0              
150	0	0	3.128e-09      3.128e-09      18             0              0              0              0              0              0              0              0              
151	0	0	3.06476e-09    3.06476e-09    18             0              0              0              0              0              0              0              0              
152	0	0	2.98416e-09    2.98416e-09    18             0              0              0              0              0              0              0              0              
153	0	0	3.2631e-09     3.2631e-09     18             0              0              0              0              0              0              0              0              
154	0	0	3.21212e-09    3.21212e-09    18             0              0              0              0              0              0              0              0              
155	0	0	3.20263e-09    3.20263e-09    18             0              0              0              0              0              0              0              0              
156	0	0	3.06671e-09    3.06671e-09    18             0              0              0              0              0              0              0              0              
157	0	0	3.18884e-09    3.18884e-09    18             0              0              0              0              0              0              0              0              
158	0	0	3.17464e-09    3.17464e-09    18             0              0              0              0              0              0              0              0              
159	0	0	3.40944e-09    3.40944e-09    18             0              0              0              0              0              0              0              0              
160	0	0	3.10962e-09    3.10962e-09    18             0              0              0              0              0              0              0              0              
161	0	0	3.42256e-09    3.42256e-09    18             0              0              0              0              0              0              0              0              
162	0	0	3.3236e-09     3.3236e-09     18             0              0              0              0              0              0              0              0              
163	0	0	3.47674e-09    3.47674e-09    18             0              0              0              0              0              0              0              0              
164	0	0	3.41046e-09    3.41046e-09    18             0              0              0              0              0              0              0              0              
165	0	0	3.63221e-09    3.63221e-09    18             0              0              0              0              0              0              0              0              
166	0	0	3.63102e-09    3.63102e-09    18             0              0              0              0              0              0              0              0              
167	0	0	3.71793e-09    3.71793e-09    18             0              0              0              0              0              0              0              0              
168	0	0	3.95649e-09    3.95649e-09    18             0              0              0              0              0              0              0              0              
169	0	0	3.69242e-09    3.69242e-09    18             0              0              0              0              0              0              0              0              
170	0	0	3.84574e-09    3.84574e-09    18             0              0              0              0              0              0              0              0              
171	0	0	4.23896e-09    4.23896e-09    18             0              0              0              0              0              0              0              0              
172	0	0	4.62e-09       4.62e-09       18             0              0              0              0              0              0              0              0              
173	0	0	4.15457e-09    4.15457e-09    18             0              0              0              0              0              0              0              0              
174	0	0	3.35091e-09    3.35091e-09    17             0              0              0              0              0              0              0              0              
175	0	0	3.02742e-09    3.02742e-09    17             0              0              0              0              0              0              0              0              
176	0	0	3.12801e-09    3.12801e-09    17             0              0              0              0              0              0              0              0              
177	0	0	3.21206e-09    3.21206e-09    17             0              0              0              0              0              0              0              0              
178	0	0	3.20323e-09    3.20323e-09    17             0              0              0              0              0              0              0              0              
179	0	0	3.18895e-09    3.18895e-09    17             0              0              0              0              0              0              0              0              
180	0	0	3.09243e-09    3.09243e-09    17             0              0              0              0              0              0              0              0              
181	0	0	3.30244e-09    3.30244e-09    17             0              0              0              0              0              0              0              0              
182	0	0	3.41034e-09    3.41034e-09    17             0              0              0              0              0              0              0              0              
183	0	0	3.11939e-09    3.11939e-09    17             0              0              0              0              0              0              0              0              
184	0	0	3.34411e-09    3.34411e-09    17             0              0              0              0              0              0              0              0              
185	0	0	3.38862e-09    3.38862e-09    17             0              0              0              0              0              0              0              0              
186	0	0	3.27265e-09    3.27265e-09    17             0              0              0              0              0              0              0              0              
187	0	0	3.33733e-09    3.33733e-09    17             0              0              0              0              0              0              0              0              
188	0	0	3.46552e-09    3.46552e-09    17             0              0              0              0              0              0              0              0              
189	0	0	3.1788e-09     3.1788e-09     17             0              0              0              0              0              0              0              0              
190	0	0	3.24748e-09    3.24748e-09    17             0              0              0              0              0              0              0              0              
191	0	0	3.36625e-09    3.36625e-09    17             0              0              0              0              0              0              0              0              
192	0	0	3.35536e-09    3.35536e-09    17             0              0              0              0              0              0              0              0              
193	0	0	3.24739e-09    3.24739e-09    17             0              0              0              0              0              0              0              0              
194	0	0	3.31798e-09    3.31798e-09    17             0              0              0              0              0              0              0              0              
195	0	0	3.50038e-09    3.50038e-09    17             0              0              0              0              0              0              0              0              
196	0	0	3.24302e-09    3.24302e-09    17             0              0              0              0              0              0              0              0              
197	0	0	3.58395e-09    3.58395e-09    17             0              0              0              0              0              0              0              0              
198	0	0	3.74694e-09    3.74694e-09    17             0              0              0              0              0              0              0              0              
199	0	0	3.52696e-09    3.52696e-09    17             0              0              0              0              0              0              0              0              
200	0	0	3.65793e-09    3.65793e-09    17             0              0              0              0              0              0              0              0              
201	0	0	3.58145e-09    3.58145e-09    17             0              0              0              0              0              0              0              0              
202	0	0	3.31619e-09    3.31619e-09    17             0              0              0              0              0              0              0              0              
203	0	0	3.6438e-09     3.6438e-09     17             0              0              0              0              0              0              0              0              
204	0	0	3.402e-09      3.402e-09      17             0              0              0              0              0              0              0              0              
205	0	0	3.7789e-09     3.7789e-09     17             0              0              0              0              0              0              0              0              
206	0	0	3.68226e-09    3.68226e-09    17             0              0              0              0              0              0              0              0              
207	0	0	3.59879e-09    3.59879e-09    17             0              0              0              0              0              0              0              0              
208	0	0	3.51689e-09    3.51689e-09    17             0              0              0              0              0              0              0              0              
209	0	0	3.836e-09      3.836e-09      17             0              0              0              0              0              0              0              0              
210	0	0	3.82383e-09    3.82383e-09    17             0              0              0              0              0              0              0              0              
211	0	0	3.9125e-09     3.9125e-09     17             0              0              0              0              0              0              0              0              
212	0	0	3.81656e-09    3.81656e-09    17             0              0              0              0              0              0              0              0              
213	0	0	3.93553e-09    3.93553e-09    17             0              0              0              0              0              0              0              0              
214	0	0	3.81961e-09    3.81961e-09    17             0              0              0              0              0              0              0              0              
215	0	0	4.00157e-09    4.00157e-09    17             0              0              0              0              0              0              0              0              
216	0	0	3.85591e-09    3.85591e-09    17             0              0              0              0              0              0              0              0              
217	0	0	4.09604e-09    4.09604e-09    17             0              0              0              0              0              0              0              0              
218	0	0	4.03797e-09    4.03797e-09    17             0              0              0              0              0              0              0              0              
219	0	0	3.86134e-09    3.86134e-09    17             0              0              0              0              0              0              0              0              
220	0	0	4.08255e-09    4.08255e-09    17             0              0              0              0              0              0              0              0              
221	0	0	4.2465e-09     4.2465e-09     17             0              0              0              0              0              0              0              0              
222	0	0	4.50029e-09    4.50029e-09    17             0              0              0              0              0              0              0              0              
223	0	0	4.25536e-09    4.25536e-09    17             0              0              0              0              0              0              0              0              
224	0	0	4.2747e-09     4.2747e-09     17             0              0              0              0              0              0              0              0              
225	0	0	4.27084e-09    4.27084e-09    17             0              0              0              0              0              0              0              0              
226	0	0	4.36182e-09    4.36182e-09    17             0              0              0              0              0              0              0              0              
227	0	0	4.4975e-09     4.4975e-09     17             0              0              0              0              0              0              0              0              
228	0	0	4.60123e-09    4.60123e-09    17             0              0              0              0              0              0              0              0              
229	0	0	4.50048e-09    4.50048e-09    17             0              0              0              0              0              0              0              0              
230	0	0	4.59449e-09    4.59449e-09    17             0              0              0              0              0              0              0              0              
231	0	0	4.82591e-09    4.82591e-09    17             0              0              0              0              0              0              0              0              
232	0	0	4.69104e-09    4.69104e-09    17             0              0              0              0              0              0              0              0              
233	0	0	4.85465e-09    4.85465e-09    17             0              0              0              0              0              0              0              0              
234	0	0	4.90728e-09    4.90728e-09    17             0              0              0              0              0              0              0              0              
235	0	0	5.09274e-09    5.09274e-09    17             0              0              0              0              0              0              0              0              
236	0	0	5.19529e-09    5.19529e-09    17             0              0              0              0              0              0              0              0              
237	0	0	5.22588e-09    5.22588e-09    17             0              0              0              0              0              0              0              0              
238	0	0	5.36699e-09    5.36699e-09    17             0              0              0              0              0              0              0              0              
239	0	0	5.14807e-09    5.14807e-09    17             0              0              0              0              0              0              0              0              
240	0	0	5.50724e-09    5.50724e-09    17             0              0              0              0              0              0              0              0              
241	0	0	5.89743e-09    5.89743e-09    17             0              0              0              0              0              0              0              0              
242	0	0	6.24851e-09    6.24851e-09    17             0              0              0              0              0              0              0              0              
243	0	0	7.04754e-09    7.04754e-09    17             0              0              0              0              0              0              0              0              
244	0	0	5.01578e-09    5.01578e-09    16             0              0              0              0              0              0              0              0              
245	0	0	4.92637e-09    4.92637e-09    16             0              0              0              0              0              0              0              0              
246	0	0	5.17647e-09    5.17647e-09    16             0              0              0              0              0              0              0              0              
247	0	0	5.31655e-09    5.31655e-09    16             0              0              0              0              0              0              0              0              
248	0	0	5.45907e-09    5.45907e-09    16             0              0              0              0              0              0              0              0              
249	0	0	5.76238e-09    5.76238e-09    16             0              0              0              0              0              0              0              0              
250	0	0	5.67906e-09    5.67906e-09    16             0              0              0              0              0              0              0              0              
251	0	0	5.88276e-09    5.88276e-09    16             0              0              0              0              0              0              0              0              
252	0	0	6.02486e-09    6.02486e-09    16             0              0              0              0              0              0              0              0              
253	0	0	6.02861e-09    6.02861e-09    16             0              0              0              0              0              0              0              0              
254	0	0	6.02955e-09    6.02955e-09    16             0              0              0              0              0              0              0              0              
255	0	0	6.22205e-09    6.22205e-09    16             0              0              0              0              0              0              0              0              
256	0	0	6.65623e-09    6.65623e-09    16             0              0              0              0              0              0              0              0              
257	0	0	6.80939e-09    6.80939e-09    16             0              0              0              0              0              0              0              0              
258	0	0	6.89732e-09    6.89732e-09    16             0              0              0              0              0              0              0              0              
259	0	0	7.21727e-09    7.21727e-09    16             0              0              0              0              0              0              0              0              
260	0	0	7.47125e-09    7.47125e-09    16             0              0              0              0              0              0              0              0              
261	0	0	7.89626e-09    7.89626e-09    16             0              0              0              0              0              0              0              0              
262	0	0	8.42912e-09    8.42912e-09    16             0              0              0              0              0              0              0              0              
263	0	0	8.88741e-09    8.88741e-09    16             0              0              0              0              0              0              0              0              
264	0	0	9.41306e-09    9.41306e-09    16             0              0              0              0              0              0              0              0              
265	0	0	1.05e-08       1.05e-08       16             0              0              0              0              0              0              0              0              
266	0	0	1.20215e-08    1.20215e-08    16             0              0              0              0              0              0              0              0              
267	0	0	1.21666e-08    1.21666e-08    16             0              0              0              0              0              0              0              0              
268	0	0	1.04526e-08    1.04526e-08    14             0              0              0              0              0              0              0              0              
269	0	0	1.12688e-08    1.12688e-08    13             0              0              0              0              0              0              0              0              
270	0	0	1.03933e-08    1.03933e-08    12             0              0              0              0              0              0              0              0              
271	0	0	1.22568e-08    1.22568e-08    12             0              0              0              0              0              0              0              0              
272	0	0	1.28533e-08    1.28533e-08    11             0              0              0              0              0              0              0              0              
273	0	0	1.18491e-08    1.18491e-08    8              0              0              0              0              0              0              0              0              
274	0	0	9.22393e-09    9.22393e-09    7              0              0              0              0              0              0              0              0              
275	0	0	3.30742e-09    3.30742e-09    2              0              0              0              0              0              0              0              0              
276	0	0	1.60923e-09    1.60923e-09    1              0              0              0              0              0              0              0              0              
277	0	0	1.21843e-09    1.21843e-09    1              0              0              0              0              0              0              0              0              
