i	j	k	Dose(Gy)       proton_1       proton_1       O16            O16            
109	0	0	2.98885e-09    2.98885e-09    15             0              0              
110	0	0	2.98681e-09    2.98681e-09    15             0              0              
111	0	0	3.03122e-09    3.03122e-09    15             0              0              
112	0	0	2.9575e-09     2.9575e-09     15             0              0              
113	0	0	3.04847e-09    3.04847e-09    15             0              0              
114	0	0	3.30269e-09    3.30269e-09    15             0              0              
115	0	0	3.28131e-09    3.28131e-09    15             0              0              
116	0	0	3.087e-09      3.087e-09      15             0              0              
117	0	0	3.17154e-09    3.17154e-09    15             0              0              
118	0	0	3.22076e-09    3.22076e-09    15             0              0              
119	0	0	3.06333e-09    3.06333e-09    15             0              0              
120	0	0	3.37573e-09    3.37573e-09    15             0              0              
121	0	0	3.16701e-09    3.16701e-09    15             0              0              
122	0	0	3.18127e-09    3.18127e-09    15             0              0              
123	0	0	3.50015e-09    3.23886e-09    15             2.61296e-10    1              
124	0	0	3.40755e-09    3.40755e-09    15             0              0              
125	0	0	3.47159e-09    3.47159e-09    15             0              0              
126	0	0	3.40742e-09    3.40742e-09    15             0              0              
127	0	0	3.43179e-09    3.43179e-09    15             0              0              
128	0	0	3.46878e-09    3.46878e-09    15             0              0              
129	0	0	3.34656e-09    3.34656e-09    15             0              0              
130	0	0	3.49188e-09    3.49188e-09    15             0              0              
131	0	0	3.6011e-09     3.6011e-09     15             0              0              
132	0	0	3.63406e-09    3.63406e-09    15             0              0              
133	0	0	3.7515e-09     3.7515e-09     15             0              0              
134	0	0	3.64615e-09    3.64615e-09    15             0              0              
135	0	0	3.66617e-09    3.66617e-09    15             0              0              
136	0	0	3.63097e-09    3.63097e-09    15             0              0              
137	0	0	3.67027e-09    3.67027e-09    15             0              0              
138	0	0	3.66202e-09    3.66202e-09    15             0              0              
139	0	0	3.92051e-09    3.92051e-09    15             0              0              
140	0	0	3.81811e-09    3.81811e-09    15             0              0              
141	0	0	3.93569e-09    3.93569e-09    15             0              0              
142	0	0	3.90749e-09    3.90749e-09    15             0              0              
143	0	0	3.84141e-09    3.84141e-09    15             0              0              
144	0	0	4.1521e-09     4.1521e-09     15             0              0              
145	0	0	4.02052e-09    4.02052e-09    15             0              0              
146	0	0	4.12853e-09    4.12853e-09    15             0              0              
147	0	0	3.97948e-09    3.97948e-09    15             0              0              
148	0	0	4.09996e-09    4.09996e-09    15             0              0              
149	0	0	4.35791e-09    4.35791e-09    15             0              0              
150	0	0	4.19799e-09    4.19799e-09    15             0              0              
151	0	0	4.24975e-09    4.24975e-09    15             0              0              
152	0	0	4.41818e-09    4.41818e-09    15             0              0              
153	0	0	4.41266e-09    4.41266e-09    15             0              0              
154	0	0	4.32382e-09    4.32382e-09    15             0              0              
155	0	0	4.47618e-09    4.47618e-09    15             0              0              
156	0	0	4.64824e-09    4.64824e-09    15             0              0              
157	0	0	4.76856e-09    4.76856e-09    15             0              0              
158	0	0	4.62067e-09    4.62067e-09    15             0              0              
159	0	0	4.89721e-09    4.89721e-09    15             0              0              
160	0	0	5.15299e-09    5.15299e-09    15             0              0              
161	0	0	4.88467e-09    4.88467e-09    15             0              0              
162	0	0	4.97404e-09    4.97404e-09    15             0              0              
163	0	0	5.05871e-09    5.05871e-09    15             0              0              
164	0	0	5.54899e-09    5.48627e-09    15             6.27192e-11    1              
165	0	0	5.53868e-09    5.53868e-09    15             0              0              
166	0	0	5.56233e-09    5.56233e-09    15             0              0              
167	0	0	5.61218e-09    5.61218e-09    15             0              0              
168	0	0	5.7569e-09     5.7569e-09     15             0              0              
169	0	0	6.13136e-09    6.13136e-09    15             0              0              
170	0	0	6.19696e-09    6.19696e-09    15             0              0              
171	0	0	6.53233e-09    6.53233e-09    15             0              0              
172	0	0	6.60749e-09    6.60749e-09    15             0              0              
173	0	0	6.99122e-09    6.99122e-09    15             0              0              
174	0	0	7.35243e-09    7.35243e-09    15             0              0              
175	0	0	7.45787e-09    7.45787e-09    15             0              0              
176	0	0	8.04867e-09    8.04867e-09    15             0              0              
177	0	0	8.28818e-09    8.28818e-09    15             0              0              
178	0	0	8.80737e-09    8.80737e-09    15             0              0              
179	0	0	9.86673e-09    9.86673e-09    15             0              0              
180	0	0	1.1069e-08     1.1069e-08     15             0              0              
181	0	0	1.25559e-08    1.25559e-08    15             0              0              
182	0	0	1.14917e-08    1.14917e-08    14             0              0              
183	0	0	1.28145e-08    1.28145e-08    13             0              0              
184	0	0	1.01835e-08    1.01835e-08    12             0              0              
185	0	0	1.17641e-08    1.17641e-08    10             0              0              
186	0	0	1.13053e-08    1.13053e-08    9              0              0              
187	0	0	7.4002e-09     7.4002e-09     6              0              0              
188	0	0	5.79264e-09    5.79264e-09    4              0              0              
189	0	0	3.8768e-09     3.8768e-09     2              0              0              
190	0	0	6.47082e-10    6.47082e-10    1              0              0              
