i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
95	0	0	3.33663e-09    3.23381e-09    28             0              0              0              0              
96	0	0	3.18415e-09    3.11211e-09    28             0              0              0              0              
97	0	0	3.34753e-09    3.09551e-09    28             0              0              0              0              
98	0	0	3.51451e-09    3.47778e-09    28             0              0              0              0              
99	0	0	3.39697e-09    3.39697e-09    28             0              0              0              0              
100	0	0	2.95606e-09    2.95606e-09    28             0              0              0              0              
101	0	0	3.14752e-09    3.14752e-09    28             0              0              0              0              
102	0	0	3.01653e-09    3.01653e-09    28             0              0              0              0              
103	0	0	3.24086e-09    3.04124e-09    28             0              0              0              0              
104	0	0	3.262e-09      3.1758e-09     28             0              0              0              0              
105	0	0	3.65187e-09    3.33789e-09    28             0              0              0              0              
106	0	0	3.38739e-09    3.34165e-09    28             0              0              0              0              
107	0	0	3.25395e-09    3.02542e-09    28             0              0              0              0              
108	0	0	3.31157e-09    3.24971e-09    28             0              0              0              0              
109	0	0	3.45358e-09    3.39592e-09    28             0              0              0              0              
110	0	0	3.25171e-09    3.25171e-09    28             0              0              0              0              
111	0	0	3.52377e-09    3.46743e-09    28             0              0              0              0              
112	0	0	3.66102e-09    3.56088e-09    28             0              0              0              0              
113	0	0	3.56215e-09    3.31561e-09    28             0              0              0              0              
114	0	0	3.87024e-09    3.66511e-09    28             0              0              0              0              
115	0	0	3.55981e-09    3.27328e-09    28             0              0              0              0              
116	0	0	3.37511e-09    3.37511e-09    28             0              0              0              0              
117	0	0	3.50919e-09    3.40818e-09    28             0              0              0              0              
118	0	0	3.53469e-09    3.52922e-09    28             0              0              0              0              
119	0	0	3.20278e-09    3.20278e-09    28             0              0              0              0              
120	0	0	3.41756e-09    3.39698e-09    28             0              0              0              0              
121	0	0	3.36467e-09    3.28273e-09    28             0              0              0              0              
122	0	0	3.30333e-09    3.30333e-09    28             0              0              0              0              
123	0	0	3.49403e-09    3.49403e-09    28             0              0              0              0              
124	0	0	3.29241e-09    3.2083e-09     28             0              0              0              0              
125	0	0	3.42784e-09    3.33353e-09    28             0              0              0              0              
126	0	0	3.70556e-09    3.57601e-09    28             0              0              0              0              
127	0	0	3.49948e-09    3.46322e-09    28             0              0              0              0              
128	0	0	3.73981e-09    3.67736e-09    28             0              0              0              0              
129	0	0	3.62975e-09    3.49956e-09    28             0              0              0              0              
130	0	0	3.50649e-09    3.43601e-09    28             0              0              0              0              
131	0	0	3.57493e-09    3.47765e-09    28             0              0              0              0              
132	0	0	3.7884e-09     3.56722e-09    28             0              0              0              0              
133	0	0	3.5484e-09     3.43261e-09    28             0              0              0              0              
134	0	0	3.46147e-09    3.39117e-09    28             0              0              0              0              
135	0	0	3.41064e-09    3.41064e-09    28             0              0              0              0              
136	0	0	3.44802e-09    3.44802e-09    28             0              0              0              0              
137	0	0	3.43237e-09    3.43237e-09    28             0              0              0              0              
138	0	0	3.45077e-09    3.45077e-09    28             0              0              0              0              
139	0	0	3.49751e-09    3.49751e-09    28             0              0              0              0              
140	0	0	3.49927e-09    3.48655e-09    28             0              0              0              0              
141	0	0	3.68443e-09    3.59934e-09    28             0              0              0              0              
142	0	0	3.54739e-09    3.37235e-09    28             0              0              0              0              
